system:index,Date,District,Month,Year,.geo
20250620T050559_20250620T050602_T44NNN_2,2025-06-20,Anuradhapura,6,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250620T050559_20250620T050602_T44NNN_3,2025-06-20,Polonnaruwa,6,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250620T050559_20250620T050602_T44NNN_4,2025-06-20,Monaragala,6,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250620T050559_20250620T050602_T44NNP_0,2025-06-20,Jaffna,6,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250620T050559_20250620T050602_T44NNP_1,2025-06-20,Matale,6,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250620T050559_20250620T050602_T44NNP_2,2025-06-20,Anuradhapura,6,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250620T050559_20250620T050602_T44NNP_3,2025-06-20,Polonnaruwa,6,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250620T050559_20250620T050602_T44NNP_4,2025-06-20,Monaragala,6,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250630T050609_20250630T050604_T44NNN_0,2025-06-30,Jaffna,6,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250630T050609_20250630T050604_T44NNN_1,2025-06-30,Matale,6,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250630T050609_20250630T050604_T44NNN_2,2025-06-30,Anuradhapura,6,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250630T050609_20250630T050604_T44NNN_3,2025-06-30,Polonnaruwa,6,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250630T050609_20250630T050604_T44NNN_4,2025-06-30,Monaragala,6,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
20250630T050609_20250630T050604_T44NNP_0,2025-06-30,Jaffna,6,2025,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
20250630T050609_20250630T050604_T44NNP_1,2025-06-30,Matale,6,2025,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
20250630T050609_20250630T050604_T44NNP_2,2025-06-30,Anuradhapura,6,2025,"{""type"":""Point"",""coordinates"":[80.4037,8.311399999999999]}"
20250630T050609_20250630T050604_T44NNP_3,2025-06-30,Polonnaruwa,6,2025,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
20250630T050609_20250630T050604_T44NNP_4,2025-06-30,Monaragala,6,2025,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
